2026-01-01 周四 | 藏历十一月十三 | 农历冬月十三 | 理发吉日：精进于佛法修持，最上；元旦节
2026-10-24 周六 | 藏历九月十三 | 农历九月十五 | 十斋日；理发吉日：精进于佛法修持，最上
2026-10-25 周日 | 藏历九月十四 | 农历九月十六 | 理发吉日：财物增多
2026-10-26 周一 | 藏历九月十五 | 农历九月十七 | 阿弥陀佛节日；作何善恶成百万倍；理发吉日：福报增上
2026-10-27 周二 | 藏历九月十六 | 农历九月十八 | 十斋日
2026-10-28 周三 | 藏历九月十八 | 农历九月十九 | 观音菩萨节日；作何善恶成千万倍；阿底峡尊者圆寂日
2026-10-29 周四 | 藏历九月十九 | 农历九月二十 | 理发吉日：增胜善法
2026-10-30 周五 | 藏历九月二十 | 农历九月廿一 | 释迦牟尼佛天降日
2026-10-31 周六 | 藏历九月廿一 | 农历九月廿二 | 地藏王菩萨节日；作何善恶成亿倍
2026-11-01 周日 | 藏历九月廿二 | 农历九月廿三 | 释迦牟尼佛天降日；飞幡日；十斋日
2026-11-02 周一 | 藏历九月廿三 | 农历九月廿四 | 理发吉日：增上财富；十斋日
2026-11-03 周二 | 藏历九月廿四 | 农历九月廿五 | 
2026-11-04 周三 | 藏历九月廿五 | 农历九月廿六 | 空行母荟供日日
2026-11-05 周四 | 藏历九月廿六 | 农历九月廿七 | 理发吉日：增上安乐；十斋日
2026-11-06 周五 | 藏历九月廿七 | 农历九月廿八 | 理发吉日：诸事吉祥；十斋日
2026-11-07 周六 | 藏历九月廿八 | 农历九月廿九 | 十斋日；立冬
2026-11-08 周日 | 藏历九月廿九 | 农历九月三十 | 十斋日
2026-11-09 周一 | 藏历九月三十 | 农历十月初一 | 释迦牟尼佛节日；作何善恶成百倍；十斋日
2026-11-10 周二 | 藏历十月初一 | 农历十月初二 | 禅定胜王佛节日；作何善恶成百倍
2026-11-11 周三 | 藏历十月初二 | 农历十月初三 | 
2026-11-12 周四 | 藏历十月初三 | 农历十月初四 | 理发吉日：家族增长财富
2026-11-13 周五 | 藏历十月初四 | 农历十月初五 | 理发吉日：怀业增上，容光焕发
2026-11-14 周六 | 藏历十月初五 | 农历十月初六 | 全知麦彭仁波切诞辰日；理发吉日：聚集广大财富
2026-11-15 周日 | 藏历十月初六 | 农历十月初七 | 
2026-11-16 周一 | 藏历十月初七 | 农历十月初八 | 十斋日；飞幡日
2026-11-17 周二 | 藏历十月初八 | 农历十月初九 | 药师佛节日；作何善恶成千倍；理发吉日：长寿
2026-11-18 周三 | 藏历十月初九 | 农历十月初十 | 理发吉日：易遇佳人
2026-11-19 周四 | 藏历十月初十 | 农历十月十一 | 莲师荟供日；作何善恶成十万倍；理发吉日：增上欢喜
2026-11-20 周五 | 藏历十月十一 | 农历十月十二 | 理发吉日：增上智慧和世聪
2026-11-21 周六 | 藏历十月十二 | 农历十月十三 | 
2026-11-22 周日 | 藏历十月十三 | 农历十月十四 | 理发吉日：精进于佛法修持，最上；小雪；十斋日
2026-11-23 周一 | 藏历十月十四 | 农历十月十五 | 理发吉日：财物增多；十斋日
2026-11-24 周二 | 藏历十月十五 | 农历十月十六 | 阿弥陀佛节日；作何善恶成百万倍；理发吉日：福报增上
2026-11-25 周三 | 藏历十月十六 | 农历十月十七 | 
2026-11-26 周四 | 藏历十月十七 | 农历十月十八 | 十斋日；感恩节
2026-11-27 周五 | 藏历十月十八 | 农历十月十九 | 观音菩萨节日；作何善恶成千万倍
2026-11-28 周六 | 藏历十月十九 | 农历十月二十 | 理发吉日：增胜善法；飞幡日
2026-11-29 周日 | 藏历十月二十 | 农历十月廿一 | 
2026-11-30 周一 | 藏历十月廿二 | 农历十月廿二 | 
2026-12-01 周二 | 藏历十月廿三 | 农历十月廿三 | 理发吉日：增上财富；十斋日
2026-12-02 周三 | 藏历十月廿四 | 农历十月廿四 | 十斋日
2026-12-03 周四 | 藏历十月廿五 | 农历十月廿五 | 空行母荟供日日；宗喀巴大师圆寂日，燃灯节
2026-12-04 周五 | 藏历十月廿六 | 农历十月廿六 | 理发吉日：增上安乐
2026-12-05 周六 | 藏历十月廿七 | 农历十月廿七 | 理发吉日：诸事吉祥；十斋日
2026-12-06 周日 | 藏历十月廿八 | 农历十月廿八 | 十斋日
2026-12-07 周一 | 藏历十月廿九 | 农历十月廿九 | 大雪；十斋日
2026-12-08 周二 | 藏历十月三十 | 农历十月三十 | 释迦牟尼佛节日；作何善恶成九亿倍；十斋日
2026-12-09 周三 | 藏历十一月初一 | 农历冬月初一 | 禅定胜王佛节日；作何善恶成百倍；十斋日
2026-12-10 周四 | 藏历十一月初二 | 农历冬月初二 | 
2026-12-11 周五 | 藏历十一月初三 | 农历冬月初三 | 理发吉日：家族增长财富
2026-12-12 周六 | 藏历十一月闰初三 | 农历冬月初四 | 理发吉日：家族增长财富
2026-12-13 周日 | 藏历十一月初四 | 农历冬月初五 | 理发吉日：怀业增上，容光焕发；飞幡日
2026-12-14 周一 | 藏历十一月初五 | 农历冬月初六 | 理发吉日：聚集广大财富
2026-12-15 周二 | 藏历十一月初六 | 农历冬月初七 | 
2026-12-16 周三 | 藏历十一月初七 | 农历冬月初八 | 十斋日
2026-12-17 周四 | 藏历十一月初八 | 农历冬月初九 | 药师佛节日；作何善恶成千倍；理发吉日：长寿
2026-12-18 周五 | 藏历十一月初九 | 农历冬月初十 | 理发吉日：易遇佳人
2026-12-19 周六 | 藏历十一月初十 | 农历冬月十一 | 莲师荟供日；作何善恶成十万倍；理发吉日：增上欢喜
2026-12-20 周日 | 藏历十一月十一 | 农历冬月十二 | 理发吉日：增上智慧和世聪
2026-12-21 周一 | 藏历十一月十二 | 农历冬月十三 | 
2026-12-22 周二 | 藏历十一月十三 | 农历冬月十四 | 理发吉日：精进于佛法修持，最上；冬至；十斋日
2026-12-23 周三 | 藏历十一月十四 | 农历冬月十五 | 萨迦班智达圆寂纪念日；理发吉日：财物增多；十斋日
2026-12-24 周四 | 藏历十一月十六 | 农历冬月十六 | 平安夜；飞幡日
2026-12-25 周五 | 藏历十一月十七 | 农历冬月十七 | 圣诞节
2026-12-26 周六 | 藏历十一月十八 | 农历冬月十八 | 观音菩萨节日；作何善恶成千万倍；十斋日
2026-12-27 周日 | 藏历十一月十九 | 农历冬月十九 | 理发吉日：增胜善法
2026-12-28 周一 | 藏历十一月二十 | 农历冬月二十 | 
2026-12-29 周二 | 藏历十一月廿一 | 农历冬月廿一 | 地藏王菩萨节日；作何善恶成亿倍
2026-12-30 周三 | 藏历十一月廿二 | 农历冬月廿二 | 
2026-12-31 周四 | 藏历十一月廿三 | 农历冬月廿三 | 理发吉日：增上财富；十斋日
